,AverageMInFile,ExternalRiskEstimate,MSinceMostRecentDelq,MSinceMostRecentInqexcl7days,MSinceMostRecentTradeOpen,MSinceOldestTradeOpen,MaxDelq2PublicRecLast12M,MaxDelqEver,NetFractionInstallBurden,NetFractionRevolvingBurden,NumBank2NatlTradesWHighUtilization,NumInqLast6M,NumInqLast6Mexcl7days,NumInstallTradesWBalance,NumRevolvingTradesWBalance,NumSatisfactoryTrades,NumTotalTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,NumTradesOpeninLast12M,PercentInstallTrades,PercentTradesNeverDelq,PercentTradesWBalance,label
8716,67,58,3,0,2,163,4,5,79,40,1,5,5,5,7,23,27,1,0,4,52,81,93,0
7624,71,68,21,-7,12,152,6,2,16,14,0,0,0,2,5,44,48,1,1,0,21,96,64,1
6583,61,75,-7,0,5,326,7,8,-8,20,1,1,1,1,6,19,19,0,0,4,5,100,100,1
8508,32,68,-7,-7,4,-8,6,8,74,16,1,1,1,3,3,7,7,1,1,3,43,100,86,1
6206,91,82,21,11,5,186,6,6,87,4,0,0,0,1,1,31,31,0,0,2,19,97,14,1
8274,61,89,-7,-7,6,-8,7,8,64,2,0,1,1,2,2,10,10,0,0,2,50,100,67,1
4545,49,70,-7,-7,2,132,7,8,60,70,1,5,4,2,2,20,21,0,0,4,33,100,67,0
3624,49,68,-7,0,2,227,7,8,75,30,2,19,18,6,5,26,50,0,0,6,41,100,61,0
6227,119,66,1,7,28,220,4,6,-8,17,1,0,0,-8,3,6,7,0,0,0,0,57,75,0
8022,93,80,-7,-8,2,187,7,8,-8,31,2,0,0,1,3,18,19,0,0,1,26,100,63,1
7633,64,78,-7,-7,4,130,7,8,-8,10,1,5,5,-8,3,22,22,0,0,1,18,100,43,1
1818,37,69,-7,0,4,57,7,8,152,52,2,4,4,7,6,14,14,0,0,1,50,100,100,0
4115,79,78,51,6,4,125,6,4,-8,7,0,0,0,1,2,30,23,1,1,3,26,97,23,0
9191,56,73,-7,5,4,229,7,8,69,18,1,1,1,12,3,32,33,0,0,5,63,100,83,1
2847,49,69,7,21,9,-8,4,6,80,18,0,0,0,2,4,13,0,0,0,1,31,77,75,0
762,48,70,71,0,0,82,6,6,-8,20,1,7,7,-8,5,17,19,0,0,2,16,95,45,0
9087,93,57,1,-7,2,317,0,2,-8,62,2,5,5,2,4,21,26,3,3,1,32,76,64,1
443,101,66,62,0,5,189,6,2,-8,37,2,2,2,1,6,16,22,5,4,1,29,71,100,1
729,117,79,3,3,4,390,4,6,-8,5,0,1,1,1,4,28,31,0,0,3,23,97,36,1
7977,173,85,-7,-8,4,321,7,8,-8,45,0,0,0,-8,1,4,4,0,0,1,0,100,50,1
1696,87,72,1,0,11,212,4,6,56,24,0,1,1,4,6,20,22,0,0,1,41,95,100,1
5558,84,69,3,-8,32,151,1,3,21,1,0,1,0,2,1,14,15,1,1,0,40,93,75,1
1895,40,56,5,0,8,78,4,6,89,22,1,0,0,2,2,14,18,2,2,3,19,81,50,0
1888,125,87,-7,0,13,359,7,8,51,1,0,0,0,3,3,18,18,0,0,0,33,100,50,1
4688,27,65,-7,0,2,53,7,8,57,51,1,3,3,3,5,17,19,0,0,4,61,100,89,1
3859,119,86,49,-8,14,372,6,6,-8,8,0,0,0,1,2,23,7,0,0,0,26,96,50,1
9815,93,66,8,0,5,470,4,5,-8,28,0,0,0,1,3,24,25,1,0,2,20,84,36,1
7546,55,64,14,-7,8,114,6,6,85,41,2,2,2,2,6,24,26,0,0,3,35,92,73,0
6265,123,88,-7,-8,74,335,7,8,49,0,0,0,0,2,0,12,12,0,0,0,58,100,40,1
9353,20,69,-7,1,1,35,6,8,-8,48,0,1,1,-8,3,5,7,1,1,2,43,100,75,0
4143,69,78,22,0,25,188,6,6,43,6,0,0,0,4,1,17,18,0,0,0,44,83,71,1
8141,88,61,2,1,9,195,4,6,91,59,2,1,1,2,3,19,20,0,0,1,32,95,67,1
4618,43,62,-7,-7,1,164,7,8,104,54,3,24,24,11,5,39,44,0,0,17,36,100,73,0
604,102,87,-7,-7,18,-8,7,8,6,47,0,0,0,1,1,11,11,0,0,0,9,100,50,0
10210,65,66,31,6,2,113,6,5,96,66,3,0,0,5,6,21,23,1,0,2,35,96,86,0
666,15,68,-7,0,0,27,7,8,72,14,0,6,5,3,3,12,13,0,0,5,31,100,67,0
8651,69,87,-7,19,20,260,7,8,48,25,0,0,0,3,3,10,12,0,0,0,33,100,100,0
2245,133,80,-8,-7,5,157,6,6,64,6,0,0,0,3,6,27,22,0,0,1,48,78,82,0
1449,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
6506,51,67,-8,0,0,158,6,6,42,44,3,2,2,1,5,28,29,0,0,1,45,97,67,0
6409,173,91,-7,0,6,494,7,8,-8,1,0,0,0,-8,2,15,15,0,0,1,0,100,29,0
9516,59,56,5,0,9,254,4,5,63,93,3,0,0,6,3,17,20,3,1,1,70,80,90,0
6150,103,90,-7,-8,30,176,7,8,-8,6,0,0,0,1,2,10,10,0,0,0,10,100,60,1
9108,99,61,2,-7,12,256,4,5,89,63,1,0,0,4,2,14,19,1,0,0,58,68,88,0
8198,87,73,-7,0,22,217,7,8,-8,91,3,1,1,-8,7,34,36,0,0,0,17,100,100,0
1107,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
8874,75,75,9,0,20,415,4,4,23,2,0,3,3,1,2,22,23,1,1,0,22,83,33,0
2949,114,73,19,-8,5,302,6,6,-8,1,0,0,0,1,1,14,5,1,1,1,29,93,33,1
6194,55,57,4,7,3,148,4,6,84,48,0,0,0,4,9,43,43,0,0,5,47,86,81,0
4273,83,61,5,0,4,251,4,6,56,76,1,4,4,3,7,18,18,0,0,1,50,83,91,0
7790,93,80,52,7,5,277,6,5,80,7,1,0,0,3,4,34,35,1,0,1,40,97,58,1
2527,130,89,-7,-7,4,173,7,8,-8,1,0,0,0,-8,3,23,21,0,0,3,43,100,33,1
1660,81,86,-8,0,4,438,6,6,-8,5,0,0,0,1,3,12,12,0,0,1,42,92,57,0
3218,76,67,2,4,17,183,1,3,60,2,0,2,2,3,2,36,41,1,1,0,16,97,36,1
5433,77,65,-7,0,1,395,7,8,94,51,4,3,3,4,8,42,43,0,0,4,26,100,55,0
4546,96,75,-8,-7,2,213,6,6,61,11,0,0,0,3,2,38,41,0,0,5,22,98,44,1
8349,52,76,-7,0,5,181,7,8,-8,46,2,1,1,1,7,29,29,0,0,2,55,100,73,0
965,75,86,-7,0,2,137,7,8,73,7,0,3,3,2,2,24,25,0,0,2,36,100,50,1
6568,71,72,8,0,1,389,4,5,65,2,-8,2,2,5,1,8,11,1,0,2,64,82,75,0
10033,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
770,111,80,-7,-8,9,319,7,8,-8,73,-8,0,0,1,5,18,22,0,0,1,50,100,86,1
1685,33,73,-7,0,9,55,7,8,71,-8,-8,1,0,2,-8,7,7,0,0,1,86,100,100,0
3731,106,84,-7,1,2,413,7,8,-8,2,0,4,4,-8,9,35,44,0,0,2,19,100,53,1
9727,64,76,16,3,2,121,6,6,32,4,0,1,1,2,2,17,18,0,0,1,50,89,67,1
9935,5,60,-7,0,3,9,7,8,-8,36,1,7,7,1,2,5,5,0,0,5,20,100,80,0
5958,68,61,10,-7,5,183,3,5,-8,108,1,2,2,1,1,2,3,1,0,1,33,67,67,0
5203,79,63,11,8,3,245,4,6,84,38,2,1,0,4,5,38,41,0,0,4,45,90,56,0
1319,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
3267,58,78,-7,2,8,162,7,8,80,6,0,1,1,3,3,38,53,0,0,2,18,100,32,1
4331,58,58,70,0,8,126,6,2,50,-8,-8,1,1,2,-8,3,5,2,2,2,50,75,100,0
10221,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
1930,96,75,2,0,4,233,4,6,-8,6,0,8,8,2,2,12,12,0,0,5,17,92,50,0
8045,62,78,-7,5,5,114,7,8,-8,3,1,1,1,2,3,36,36,0,0,4,22,100,33,1
6768,120,60,1,0,0,352,4,6,35,18,3,7,7,2,9,19,21,0,0,5,24,81,85,0
592,48,72,79,-7,12,156,6,6,65,41,0,2,2,1,4,10,10,0,0,0,30,90,86,1
4564,18,61,-7,-7,7,33,7,8,-8,92,-8,0,0,1,1,5,7,0,0,1,80,100,100,0
5577,27,61,-7,0,8,76,0,8,32,74,1,2,2,2,2,8,9,1,1,3,25,100,67,0
5713,70,59,10,0,9,204,0,2,48,85,1,0,0,2,3,5,7,2,1,1,29,43,100,0
1681,21,68,-7,0,9,28,7,8,-8,-8,-8,0,0,2,-8,3,3,0,0,1,100,100,100,0
5560,52,74,64,0,2,139,6,6,85,34,1,3,3,3,1,11,12,0,0,3,42,92,44,1
5586,63,85,-7,0,4,177,7,8,89,0,0,0,0,3,2,11,11,0,0,2,27,100,56,1
2953,19,57,-7,6,10,231,7,8,78,97,3,0,0,2,4,7,25,0,0,2,43,100,100,0
7433,60,59,-7,0,17,90,0,8,-8,76,-8,2,2,2,1,11,13,1,1,0,50,100,100,0
9472,38,72,-7,0,3,63,7,8,-8,85,1,3,3,-8,4,5,5,0,0,1,0,100,100,0
3774,137,71,-7,1,12,409,7,8,93,47,4,2,2,3,14,44,44,0,0,0,18,100,60,1
8998,89,68,-7,0,4,272,7,8,90,90,4,0,0,4,8,31,33,0,0,2,27,100,86,1
5173,99,92,-7,6,11,276,7,8,-8,0,0,0,0,1,1,25,28,0,0,1,29,100,33,1
8242,71,68,36,0,6,256,5,6,99,69,3,7,5,3,9,34,35,0,0,4,23,97,80,0
10017,23,67,-7,-7,7,171,7,8,92,65,4,1,1,2,12,23,23,0,0,4,13,100,79,0
2865,75,68,12,16,2,146,0,6,92,3,0,0,0,3,4,36,50,3,3,3,41,92,58,1
3960,108,82,-7,5,6,233,7,8,-8,5,1,0,0,2,4,28,40,0,0,1,28,100,40,1
1033,89,66,-7,-7,4,216,7,8,69,78,3,5,5,2,5,27,27,0,0,1,41,100,70,0
8068,106,63,6,14,14,293,4,2,63,42,3,0,0,2,6,17,19,1,1,0,26,79,80,1
7865,55,72,61,0,2,103,6,4,-8,56,0,3,3,-8,1,3,5,1,1,2,60,80,50,0
1627,150,79,-7,0,22,281,7,8,-8,81,1,0,0,1,1,6,6,0,0,0,33,100,50,0
7553,77,65,30,-7,2,248,5,3,34,31,1,0,0,4,8,28,33,3,1,3,53,84,80,0
1646,95,85,-7,0,3,176,7,8,-8,26,0,0,0,-8,3,12,14,0,0,1,21,100,100,1
7585,64,40,2,-7,1,177,0,2,97,106,1,8,8,2,1,4,17,14,10,3,53,29,100,0
376,111,81,1,0,12,329,4,6,86,1,0,0,0,4,2,19,20,0,0,0,55,95,67,0
1743,55,76,-7,0,10,166,7,8,-8,25,1,2,2,1,6,35,36,0,0,3,19,100,47,0
229,74,75,-7,0,4,180,7,8,97,41,0,4,4,3,1,35,36,0,0,5,44,100,80,1
8200,94,79,-7,0,20,212,7,8,55,50,1,0,0,4,7,18,18,0,0,0,39,100,79,0
8944,35,62,-8,0,1,88,5,6,70,30,0,4,3,5,6,20,22,0,0,7,50,95,92,0
3645,92,60,2,4,30,197,3,5,-8,66,0,1,1,-8,1,2,20,1,0,0,67,67,100,0
6132,88,68,6,1,15,218,4,6,85,49,1,1,1,2,3,25,28,0,0,0,50,82,86,1
8731,67,65,11,0,9,251,4,5,87,86,1,1,1,3,2,23,24,4,3,3,79,92,100,0
8914,51,66,14,0,5,125,6,6,98,33,0,0,0,2,4,27,30,1,1,4,63,97,75,0
257,51,68,71,0,8,130,6,6,24,59,0,0,0,4,5,30,36,2,2,2,53,97,75,0
5526,68,71,-7,1,4,160,7,8,35,61,1,1,1,3,5,31,31,0,0,3,35,100,80,1
3233,97,76,62,5,5,270,6,2,70,2,0,0,0,3,4,19,5,3,3,1,35,95,58,1
9126,69,68,-7,-7,7,159,7,8,-8,66,5,0,0,1,8,38,40,0,0,3,30,100,91,0
663,213,83,-7,5,40,241,7,8,-8,32,1,0,0,1,5,26,27,0,0,0,26,100,75,1
4168,95,63,56,0,11,408,6,5,46,99,2,0,0,4,3,26,29,1,0,1,66,86,78,1
1039,6,58,-7,-7,1,14,7,8,-8,98,1,15,15,2,2,3,5,0,0,4,40,100,80,1
4752,85,81,16,4,3,271,6,6,-8,6,1,1,1,1,3,19,21,0,0,3,33,95,36,1
8357,71,55,4,0,12,113,0,2,-8,39,1,0,0,-8,1,4,9,6,6,0,56,56,67,0
9496,65,61,32,0,8,176,6,6,72,54,2,1,0,3,5,24,25,0,0,3,44,80,89,0
1993,87,60,8,0,9,182,4,6,60,93,4,0,0,2,8,19,20,1,1,1,21,84,100,1
5576,224,88,-7,0,33,384,7,8,-8,15,0,0,0,-8,5,11,11,0,0,0,9,100,56,1
8783,158,58,1,-7,10,214,4,3,68,3,0,0,0,3,4,15,19,4,2,1,53,58,100,0
190,120,92,-7,4,13,352,7,8,-8,11,0,1,1,1,2,14,17,0,0,0,35,100,60,1
1616,80,81,-7,0,2,253,7,8,-8,4,0,4,4,5,3,28,29,0,0,4,34,100,50,1
6012,53,67,14,1,2,97,6,2,89,77,2,2,2,5,3,19,22,2,2,1,73,91,89,0
2961,18,67,-7,10,2,182,6,8,-8,41,1,1,0,1,2,4,7,1,1,3,40,100,75,0
4351,17,62,-7,0,4,42,7,8,-8,57,3,2,2,1,8,12,16,0,0,4,6,100,75,0
9601,73,83,-7,1,1,217,7,8,48,7,1,1,1,2,6,34,39,0,0,2,21,100,57,1
9513,53,70,-8,0,7,97,6,6,69,17,0,1,1,3,2,14,16,0,0,1,38,94,60,0
6588,91,49,3,0,13,178,3,5,45,65,1,2,2,4,3,10,17,6,1,0,56,56,100,0
471,22,70,-7,0,13,37,5,8,-8,39,1,0,0,1,5,9,9,0,0,0,11,100,67,1
7481,71,72,-7,0,3,243,7,8,96,2,0,2,2,1,3,24,26,1,1,3,24,100,29,1
862,240,81,-7,11,11,419,7,8,-8,55,1,0,0,-8,3,13,13,0,0,1,8,100,50,1
3893,89,54,22,4,5,191,0,2,73,15,0,1,1,1,2,11,14,6,4,3,40,73,75,0
1483,85,63,-8,0,8,363,6,6,74,91,1,0,0,4,1,15,15,0,0,1,67,93,83,0
3457,83,60,17,1,3,236,6,5,-8,82,3,3,3,2,6,41,31,1,0,1,30,86,75,1
3401,101,65,14,0,3,176,5,6,0,87,6,3,3,3,9,34,36,0,0,1,28,92,92,0
10404,135,79,-7,1,24,344,7,8,-8,41,2,1,1,1,4,24,24,0,0,0,17,100,50,1
7091,153,88,-7,0,2,474,7,8,65,2,0,1,1,4,3,23,26,0,0,2,54,100,70,1
2028,80,62,13,0,4,190,5,5,82,60,1,1,0,8,6,29,31,1,0,3,45,74,100,1
9042,60,55,7,0,9,127,3,5,142,69,1,0,0,9,7,28,30,2,0,2,47,80,89,0
10127,57,68,11,5,4,194,4,6,47,6,0,0,0,5,2,16,16,0,0,3,56,69,70,0
1394,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
3006,90,72,-7,-8,9,236,7,8,83,41,3,0,0,8,7,55,78,0,0,1,55,100,79,1
2836,61,80,-7,18,3,231,7,8,92,10,0,0,0,2,3,27,25,0,0,4,33,100,45,0
4343,52,80,27,0,7,92,6,6,72,4,0,0,0,3,4,16,16,0,0,2,44,94,64,0
5556,51,66,-7,0,0,122,7,8,68,40,2,17,14,4,5,31,37,0,0,6,62,100,82,0
7239,70,84,-7,0,4,160,7,8,97,26,0,0,0,2,2,18,18,0,0,2,39,100,40,1
4370,20,68,-7,0,4,45,7,8,90,40,1,0,0,3,5,12,14,0,0,3,50,100,100,0
2437,102,78,17,-7,1,-8,6,6,101,16,0,0,0,4,3,12,0,0,0,2,57,86,89,0
8288,74,58,26,-7,6,186,6,6,73,60,4,0,0,4,10,35,38,0,0,3,31,97,67,1
1694,75,65,16,0,9,125,6,3,-8,85,1,0,0,1,1,14,19,4,1,1,53,79,75,0
6807,89,83,39,1,14,202,6,6,76,17,-8,1,1,2,2,12,12,0,0,0,58,92,67,0
5964,60,81,-7,-7,2,134,7,8,48,32,0,1,1,3,6,25,27,0,0,2,15,100,100,1
1812,104,84,-7,0,12,270,7,8,84,0,0,3,3,3,1,33,33,0,0,0,36,100,31,1
8522,63,68,45,-7,1,170,6,6,65,26,0,3,3,3,4,21,24,1,1,5,36,95,64,0
1894,127,71,17,0,5,483,6,6,90,37,2,0,0,1,5,24,25,1,1,4,4,96,43,1
4393,21,65,38,0,3,56,6,6,98,23,1,3,3,1,3,7,7,0,0,3,43,86,80,1
3035,52,75,-7,22,3,121,7,8,85,34,1,0,0,4,5,21,8,0,0,4,19,100,75,1
4078,49,59,-7,1,3,191,7,8,95,83,3,4,4,5,6,54,65,0,0,10,43,100,100,0
8194,95,61,1,0,4,247,4,6,99,87,3,1,1,4,8,36,39,0,0,1,59,92,93,0
1902,47,75,-7,0,2,172,7,8,-8,32,1,1,1,-8,5,10,11,0,0,5,18,100,83,0
7602,77,82,24,-7,10,221,6,6,-8,4,0,0,0,-8,2,40,40,0,0,1,15,98,15,0
2333,137,87,-7,-7,1,340,7,8,-8,18,0,0,0,-8,3,9,2,0,0,1,10,100,75,1
2316,90,65,43,-7,0,237,6,6,90,60,4,3,3,4,4,42,62,0,0,2,58,98,80,0
8669,62,57,0,0,5,171,4,6,86,11,0,5,4,2,5,33,34,0,0,5,26,97,39,1
9706,207,83,-7,1,4,396,7,8,-8,45,1,2,2,-8,2,7,7,0,0,1,0,100,40,1
8445,66,54,3,0,30,164,3,5,-8,108,1,1,1,1,2,5,7,1,0,0,33,50,100,0
5700,93,65,27,0,2,261,6,6,96,29,0,0,0,2,4,14,17,2,2,2,47,87,67,1
8178,85,79,-7,0,5,161,7,8,-8,14,0,3,3,1,2,7,9,0,0,2,78,100,100,0
9525,131,82,56,0,29,374,7,6,-8,1,0,6,6,-8,1,17,18,0,0,0,56,94,33,0
8935,57,69,32,0,12,159,6,6,-8,83,2,0,0,1,5,18,20,0,0,0,20,95,75,0
2255,61,64,6,-7,1,260,2,4,88,68,1,0,0,2,3,17,23,1,1,5,26,95,71,0
7560,27,65,27,-7,7,45,6,6,90,94,1,3,3,2,1,5,6,0,0,1,60,80,100,0
4700,81,71,-8,10,4,228,6,5,95,24,1,0,0,2,4,45,46,1,0,2,39,98,44,0
9054,72,79,-7,0,7,199,7,8,-8,15,1,0,0,1,4,13,14,0,0,1,14,100,63,0
8789,83,88,-7,14,15,205,7,8,60,1,0,0,0,2,1,14,14,0,0,0,36,100,50,1
2547,40,62,7,-7,20,153,4,6,75,-8,-8,0,0,2,-8,5,12,0,0,0,100,20,100,0
2870,90,76,74,6,3,258,6,4,-8,28,1,0,0,2,8,40,35,2,1,9,23,91,50,1
5237,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
6751,99,68,29,2,13,263,6,6,82,68,5,1,1,3,12,28,34,0,0,0,23,93,88,0
7005,80,73,-7,0,1,225,7,8,47,73,3,5,5,3,3,29,30,0,0,1,30,100,55,1
6883,69,67,7,3,3,142,2,4,39,32,-8,5,4,3,6,31,38,1,1,2,34,92,69,0
1897,30,63,9,0,14,44,4,6,85,68,0,9,9,1,1,5,5,0,0,0,80,80,100,0
4248,68,75,-7,0,29,97,7,8,59,-8,-8,1,1,3,-8,17,17,0,0,0,47,100,100,0
9297,87,67,24,5,5,155,6,5,53,27,1,0,0,5,7,23,27,2,0,2,37,85,93,0
6006,81,63,29,7,5,134,6,5,34,80,3,0,0,2,4,17,20,1,0,1,45,70,100,0
806,106,79,12,3,15,243,6,6,40,22,0,2,2,5,3,19,19,0,0,0,53,95,82,1
9160,88,82,81,-7,8,192,6,6,92,0,0,0,0,2,1,17,17,0,0,1,35,94,38,0
5530,64,75,6,10,10,125,4,6,79,5,0,0,0,2,1,7,7,0,0,1,43,86,60,0
5636,50,72,39,0,5,139,6,3,95,12,0,6,6,3,4,37,42,2,2,5,27,95,36,0
6104,59,77,-7,0,1,177,7,8,-8,3,1,3,3,1,8,41,43,0,0,6,9,100,33,1
3988,97,63,5,0,9,177,4,6,92,60,2,2,2,2,2,15,6,0,0,1,27,67,67,0
8019,89,81,-7,3,23,162,7,8,58,11,0,1,1,2,1,26,26,0,0,0,31,100,33,1
216,174,93,-7,2,27,399,7,8,-8,0,0,1,1,-8,0,5,5,0,0,0,0,100,0,0
280,38,79,-7,0,8,81,7,8,-8,10,-8,0,0,1,2,10,10,0,0,2,20,100,50,1
6309,56,81,36,7,1,137,6,5,-8,3,0,0,0,1,3,22,24,1,0,3,21,92,50,1
7230,47,72,6,0,3,118,4,6,83,3,0,1,0,3,3,22,23,0,0,4,65,83,88,0
5190,73,86,-7,3,1,177,7,8,-8,2,0,1,1,1,3,25,33,0,0,2,30,100,40,1
9861,57,75,-8,0,2,199,6,6,98,18,0,0,0,2,6,21,22,0,0,3,27,95,62,0
1956,83,60,5,0,3,169,4,2,53,83,1,0,0,4,3,18,21,3,2,1,29,81,89,0
6669,64,68,34,-7,3,190,6,5,44,37,0,2,2,2,8,13,14,1,0,2,29,71,91,0
6161,97,65,-7,0,3,435,7,8,-8,70,8,8,8,1,9,32,34,0,0,2,18,100,67,0
8627,104,91,-7,-8,47,197,7,8,-8,3,0,0,0,-8,2,18,18,0,0,0,11,100,20,1
7629,72,76,7,-7,2,130,4,6,-8,21,0,0,0,1,2,13,14,0,0,1,43,93,60,0
644,63,66,23,1,7,128,6,5,77,39,1,2,1,2,7,48,55,1,0,6,40,93,77,1
6405,55,80,-7,0,3,101,7,8,-8,1,1,1,1,2,6,23,23,0,0,1,17,100,67,1
9312,74,70,41,1,1,214,6,6,-8,69,3,1,1,3,15,41,42,0,0,3,21,98,95,0
9939,55,82,-7,0,5,132,7,8,55,21,-8,0,0,4,1,18,19,0,0,2,47,100,63,1
8172,55,67,14,0,16,115,6,6,84,56,1,0,0,4,5,21,26,0,0,0,58,96,82,0
6722,58,74,-7,-7,4,143,7,8,40,26,2,4,4,3,5,20,22,0,0,4,41,100,57,0
4926,98,90,-7,14,31,174,7,8,-8,8,0,0,0,1,1,13,13,0,0,0,38,100,40,1
3432,91,67,21,0,36,210,6,5,7,75,2,2,2,4,3,24,25,1,0,0,32,80,70,1
2613,72,71,-7,-7,2,215,7,8,-8,45,2,1,1,4,8,55,47,0,0,10,27,100,43,0
3989,49,82,-7,14,9,150,7,8,92,5,0,0,0,2,1,12,18,0,0,1,42,100,43,1
9256,95,62,1,17,0,275,4,6,47,43,5,0,0,2,8,30,38,0,0,4,24,87,63,0
8254,74,57,4,0,11,269,3,5,43,41,1,2,2,5,6,29,30,1,0,2,40,70,58,0
1063,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
8656,178,84,-7,-8,23,356,7,8,-8,10,0,0,0,1,4,16,16,0,0,0,31,100,67,1
5688,14,62,-7,0,2,33,7,8,85,73,1,3,3,2,2,9,10,0,0,6,20,100,63,0
4022,71,63,37,2,2,77,6,6,78,43,2,1,1,8,6,24,14,1,1,1,43,96,79,1
3567,82,65,1,9,20,202,4,6,9,33,0,0,0,4,4,29,30,0,0,0,43,97,73,1
4010,91,82,36,4,5,192,6,3,82,6,0,1,1,2,4,47,6,1,1,2,39,92,33,1
2902,40,60,6,0,3,511,4,6,44,50,1,2,2,3,4,24,37,0,0,3,33,83,54,1
4830,56,59,2,3,4,115,4,6,53,64,1,1,1,3,2,25,25,0,0,4,44,96,50,1
4229,89,82,-7,0,30,270,7,8,6,44,0,0,0,2,3,12,12,0,0,0,42,100,71,1
1557,144,73,25,0,48,361,6,6,9,51,1,1,1,2,2,18,18,0,0,0,39,89,56,1
2720,76,72,9,-7,5,153,4,6,23,14,0,1,1,8,4,24,50,1,1,2,66,90,71,0
7480,80,61,3,0,10,164,3,5,63,47,0,2,2,10,4,54,59,1,0,2,83,88,88,0
3735,105,68,11,1,8,273,0,2,77,5,0,1,1,4,9,44,25,3,1,2,20,86,68,1
5685,26,74,-7,0,5,52,7,8,56,45,0,1,1,2,3,16,16,0,0,2,19,100,56,1
2259,31,63,34,-7,6,202,6,2,81,49,1,1,1,2,6,9,25,2,2,4,20,90,89,1
6315,92,88,-7,0,3,166,7,8,96,0,0,2,2,1,0,10,10,0,0,1,40,100,25,1
2820,70,87,-7,-7,19,156,7,8,35,2,0,2,2,2,2,15,16,0,0,0,27,100,44,0
4828,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
7615,74,56,2,-7,8,180,1,3,80,30,1,1,1,4,5,29,32,2,2,4,30,87,69,0
4696,78,74,-7,-8,4,207,7,8,44,22,1,0,0,3,8,32,33,0,0,2,38,100,79,1
3642,58,82,-7,1,9,418,7,8,-8,5,0,2,2,1,1,21,37,0,0,1,24,100,29,1
3878,97,69,-7,0,1,166,7,8,-8,40,4,13,13,-8,8,19,13,0,0,4,0,100,73,0
8453,58,60,0,0,2,204,4,6,96,57,2,1,1,4,5,27,31,0,0,4,35,86,64,1
2207,71,63,1,0,4,282,4,2,81,4,0,1,1,4,5,29,32,2,2,4,69,88,82,0
2097,124,87,-7,0,19,405,7,8,-8,9,1,0,0,1,4,25,25,0,0,0,20,100,63,1
3411,64,66,-7,0,21,95,6,8,53,75,4,0,0,2,7,18,18,1,1,0,22,100,100,1
364,68,74,7,0,11,155,4,6,-8,1,0,0,0,1,3,18,23,0,0,2,26,91,36,0
4367,121,65,39,0,4,259,6,5,98,100,1,1,1,1,1,4,7,2,0,2,29,29,100,1
2178,47,60,-7,0,1,123,7,8,-8,90,5,1,1,1,6,18,20,0,0,3,5,100,70,0
9145,90,90,-7,-7,24,142,7,8,-8,2,0,0,0,1,2,15,15,0,0,0,7,100,50,1
2393,85,70,-7,-7,6,173,7,8,13,93,3,0,0,4,3,12,10,0,0,2,46,100,100,0
1125,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
9693,93,69,28,9,5,266,6,5,92,27,1,0,0,2,6,22,27,2,0,2,41,89,67,0
6314,95,67,3,15,34,162,4,6,-8,67,1,0,0,1,2,16,17,0,0,0,19,94,60,0
2677,99,59,4,-7,5,192,3,2,-8,40,0,1,1,1,3,18,26,5,3,1,19,81,57,0
3241,65,55,1,1,10,171,4,6,56,83,2,2,2,12,6,52,54,1,1,1,69,98,90,0
2588,112,87,-7,-7,17,172,7,8,25,7,0,0,0,2,4,18,3,0,0,0,28,100,75,1
7244,65,66,-7,0,5,166,7,8,-8,55,4,7,7,3,6,19,19,0,0,3,16,100,69,1
7191,77,73,-7,0,7,311,7,8,93,69,2,0,0,2,5,13,13,0,0,2,46,100,88,0
9699,69,68,1,6,2,184,4,6,57,4,0,0,0,5,2,7,12,0,0,2,67,58,78,1
5829,54,59,10,0,10,194,4,6,-8,74,1,1,1,1,6,14,15,1,1,1,29,79,70,0
4721,73,85,-7,-8,1,165,7,8,-8,11,0,0,0,1,4,10,13,0,0,4,8,100,63,1
7920,46,60,43,0,6,86,6,6,92,76,1,1,1,5,4,16,16,0,0,4,63,94,90,0
